county,estabs_20175221,emplvl_20175221,estabs_20175222,emplvl_20175222,estabs_20175223,emplvl_20175223
01000,2018,32013,1900,8205,186,926
01001,22,137,21,0,1,0
01003,107,787,78,212,12,63
01005,15,105,15,30,,
01007,8,49,5,13,,
01009,14,140,10,30,,
01011,2,0,1,0,,
01013,10,64,15,0,1,0
01015,55,512,62,163,3,7
01017,7,81,12,30,,
01019,8,57,11,29,,
01021,15,114,20,59,,
01023,7,0,3,0,,
01025,19,190,25,54,,
01027,4,0,2,0,,
01029,4,0,2,0,,
01031,18,155,27,0,1,0
01033,26,508,28,0,1,0
01035,3,31,3,0,,
01037,2,0,1,0,,
01039,19,219,20,0,1,0
01041,5,77,2,0,2,0
01043,37,412,30,0,1,0
01045,18,155,17,0,1,0
01047,13,122,17,0,1,0
01049,30,278,19,0,1,0
01051,33,317,23,0,2,0
01053,21,278,25,52,,
01055,31,455,39,0,2,0
01057,6,58,5,29,,
01059,21,295,12,31,,
01061,8,0,2,0,,
01063,1,0,1,0,,
01065,3,54,,,,
01067,8,0,1,0,,
01069,54,597,57,0,2,0
01071,21,253,16,0,1,0
01073,298,9979,234,1457,36,262
01075,6,0,1,0,,
01077,41,517,38,122,,
01079,8,81,5,14,,
01081,54,597,51,0,3,0
01083,21,186,31,85,,
01085,4,0,,,,
01087,3,21,1,0,2,0
01089,138,1886,108,619,15,42
01091,12,134,12,35,,
01093,18,221,14,138,,
01095,41,424,52,0,2,0
01097,167,1560,155,986,10,40
01099,10,88,13,34,,
01101,101,1492,91,436,9,176
01103,45,677,56,327,4,12
01105,3,0,,,,
01107,10,0,1,0,,
01109,14,204,19,49,,
01111,12,105,6,18,,
01113,18,0,32,346,3,0
01115,25,281,26,0,1,0
01117,90,4151,61,344,10,28
01119,4,43,3,0,,
01121,24,282,40,0,2,0
01123,11,130,13,0,1,0
01125,86,1012,64,264,4,7
01127,27,225,28,0,2,0
01129,8,0,1,0,,
01131,3,0,,,,
01133,12,145,6,17,,
01999,35,156,117,398,49,174
02000,233,4280,69,404,28,95
02016,1,0,,,,
02020,91,2824,38,303,17,66
02050,3,0,,,,
02060,1,0,,,,
02068,1,0,,,,
02070,1,0,,,,
02090,35,441,5,22,,
02100,1,0,,,,
02110,18,120,4,16,,
02122,17,162,6,0,2,0
02130,10,0,1,0,,
02150,6,47,1,0,1,0
02170,22,295,11,40,3,6
02180,2,0,,,2,0
02185,1,0,,,,
02188,1,0,,,,
02195,2,0,,,,
